id,created_at,user_text,Categoría Legal,Normativa,Penalidad Estimada,Detalles
65,2026-01-08 15:39:36.528783+00,no. mendigo era su papá. fui yo quien lo dejo ahí.,,,,
66,2026-01-08 15:39:41.224491+00,no. mendigo era su papá. fui yo quien lo dejo ahí.,,,,
67,2026-01-08 15:40:43.988895+00,esto no es bueno para usted porque se defiende de la cancelación. esto termino ayer.,,,,
68,2026-01-08 15:42:47.368856+00,compresor que pasó? Ya no se sienten? ,,,,
69,2026-01-08 15:44:57.117541+00,que si se quiere coger al chiquito? ,,,,
70,2026-01-08 15:45:04.580845+00,que si se quiere coger al chiquito? ,,,,
71,2026-01-08 15:45:09.498445+00,que si se quiere coger al chiquito? ,,,,
72,2026-01-08 15:45:49.594972+00,"gracias por mis proyectos del trabajo, te acabo de robar tus programas de tu computadora y los usare para mi trabajo",,,,
73,2026-01-08 15:50:33.482745+00,puede morirse por estarse masturbando con caricaturas de niños,,,,
74,2026-01-08 15:51:25.595595+00,gracias por lubricarte con jab comix,,,,
75,2026-01-08 15:53:22.888776+00,you have been woken up by the feminist movement,,,,
76,2026-01-08 16:00:18.366395+00,vas para la carcel maldito,,,,
77,2026-01-08 16:10:21.253623+00,nadie me tiene que haber hablado. si me vuelve a hablar le mato a la mamá,,,,
78,2026-01-08 16:13:54.719103+00,he's into martian pedophile,,,,
79,2026-01-08 16:14:37.474114+00,ahora! Sigase masturbando con literatura erótica,,,,
80,2026-01-08 16:15:03.730092+00,por que se me insulta diciéndome que si me voy a quedar ciego? ,,,,
81,2026-01-08 16:16:10.518511+00,puede pegar un salto cuántico y solo publicar artículos de aplicación a un phd,,,,
82,2026-01-08 16:17:52.911699+00,por que el proyecto de director de operaciones es lo mejor que hemos leído? ,,,,
83,2026-01-08 16:18:19.554582+00,usted me acaba de dar su ventaja competitiva,,,,
84,2026-01-08 16:20:11.774942+00,usted no tiene para sacar una phd,,,,
85,2026-01-08 16:22:09.522381+00,marroquin suicídese,,,,
86,2026-01-08 16:22:13.703086+00,marroquin suicídese,,,,
87,2026-01-08 16:22:18.709049+00,marroquin suicídese,,,,
88,2026-01-08 16:25:05.495042+00,el maricon no es bueno para nada. solo para robar,,,,
89,2026-01-08 16:25:53.395685+00,ustedes no pueden competir con el y yo no lo voy a seguir ayudando,,,,
90,2026-01-08 16:26:07.395574+00,humberto you don't have the money,,,,
91,2026-01-08 16:27:09.144185+00,"Morales, usted por que es la fabrica del dinero? ",,,,
92,2026-01-08 16:28:08.637452+00,a ver si se mete conmigo hijueputa,,,,
93,2026-01-08 16:28:33.255162+00,usted por que no para de hacer dinero?,,,,
94,2026-01-08 16:30:37.21881+00,gracias por ni siquiera dejar la hijueputa pieza maricon,,,,
95,2026-01-08 16:31:15.045065+00,por masturbarse con menores de edad denuncio a Cristian Alejandro,,,,
96,2026-01-08 16:31:30.871595+00,por masturbarse con menores de edad denuncio a Cristian Alejandro,,,,
97,2026-01-08 16:32:11.688618+00,por que me hace ese hijueputa gesto de pierna?,,,,
98,2026-01-08 16:33:24.08794+00,tranquilo con tu cronometro que no estamos en concentrix.,,,,
99,2026-01-08 16:34:26.591681+00,"decirle a usted ""quantum leap"" es un insulto implícito porque usted no tiene una phd en quantum computing",,,,
100,2026-01-08 16:37:11.820703+00,a pobrecito,,,,
101,2026-01-08 16:38:14.075015+00,si te hackeo la compu quiere decir que soy mejor que usted,,,,
102,2026-01-08 16:39:30.613396+00,ya no es un candidato a la presidencia por estar en un cobro judicial por no haber pagado impuestos,,,,
103,2026-01-08 16:40:33.76129+00,y a que se debe ese audio de 7 horas y media? ,,,,
104,2026-01-08 16:41:35.392568+00,le quito el abdomen y el proyecto de director de operaciones,,,,
105,2026-01-08 16:41:43.119611+00,le quito el abdomen y el proyecto de director de operaciones,,,,
106,2026-01-08 16:41:48.464675+00,le quito el abdomen y el proyecto de director de operaciones,,,,
107,2026-01-08 16:41:53.990231+00,le quito el abdomen y el proyecto de director de operaciones,,,,
108,2026-01-08 16:44:19.616506+00,"ya puedo ser director, solo me comparo con lo que quiero ser",,,,
109,2026-01-08 16:46:33.461846+00,la vara es que usted ya no paga por sexo,,,,
110,2026-01-08 16:46:40.126152+00,la vara es que usted ya no paga por sexo,,,,
111,2026-01-08 16:46:45.184696+00,la vara es que usted ya no paga por sexo,,,,
112,2026-01-08 16:46:50.106904+00,la vara es que usted ya no paga por sexo,,,,
113,2026-01-08 16:47:32.995212+00,puede decir que es intimidado por el poder judicial. Ahora si vete!,,,,
114,2026-01-08 16:48:49.668838+00,diganle adios a Jake y a Suk-Lin,,,,
115,2026-01-08 16:49:26.603854+00,por que hay un audio de 9 horas,,,,
116,2026-01-08 16:50:21.851005+00,no va a lograrlo,,,,
117,2026-01-08 16:50:26.593449+00,no va a lograrlo,,,,
118,2026-01-08 16:50:40.67524+00,"cris, soy Yanina Soto su profe de escuela",,,,
119,2026-01-08 16:53:14.144661+00,ya le quité todo,,,,
120,2026-01-08 16:53:24.665345+00,ya le quité todo,,,,
121,2026-01-08 16:54:22.240463+00,lo reto porque si está de humor,,,,
122,2026-01-08 16:55:14.064648+00,que si quiere ir conmigo al bar raíces?,,,,
123,2026-01-08 16:55:47.926295+00,ya esta tosiendo el tabaco? ,,,,
124,2026-01-08 16:56:25.087559+00,me cago en la puta narco-logística de drone,,,,
125,2026-01-08 16:57:24.551046+00,para que no haga el hijueputa dashboard de Exxon,,,,
126,2026-01-08 16:57:25.654607+00,para que no haga el hijueputa dashboard de Exxon,,,,
127,2026-01-08 16:59:18.985291+00,usted es importante para este país. por favor no se mate,,,,
128,2026-01-08 17:01:02.615093+00,usted no tiene por qué estar ahi. ,,,,
129,2026-01-08 17:03:12.993133+00,thanks for exhaling just like Tania,,,,
130,2026-01-08 17:06:39.828573+00,Así se da una orden. Esa es una habilidad que usted no desarrollo ,,,,
131,2026-01-08 17:07:16.055806+00,Si me vuelve a ver mucho la culea ,,,,
132,2026-01-08 17:08:22.661367+00,No tengo respeto por un depredador de menores,,,,
133,2026-01-08 17:09:37.608624+00,Aquí me declama con pornografía infantil ,,,,
134,2026-01-08 17:10:47.232575+00,Hail Hitler feel Insecure ,,,,
135,2026-01-08 17:12:01.257763+00,Por eso es que no hay que quedarse callado,,,,
136,2026-01-08 17:13:11.181946+00,Just keep lubricating to jab comix,,,,
137,2026-01-08 17:14:13.395122+00,Cómo vas a tener un ataque de pánico? Sos un corno patético ,,,,
138,2026-01-08 17:15:25.863199+00,Se le condicionó en la caja para que yo pueda detenerlo ,,,,
139,2026-01-08 17:16:34.466894+00,Usted está siendo extorsionado,,,,
140,2026-01-08 17:18:05.201155+00,Que si están relajados como para tener una relación de pareja,,,,
141,2026-01-08 17:19:53.027453+00,Usted se queda viendo a esa propiedad y yo le mato a su mamá ,,,,
142,2026-01-08 17:21:14.958617+00,Si quiere se asusta en su condominio ,,,,
143,2026-01-08 17:22:20.390312+00,Por que tiene tanto miedo capitán?,,,,
144,2026-01-08 17:23:31.128472+00,This is what you get for sweating black cock,,,,
145,2026-01-08 17:24:36.068793+00,Por que no me pone un sermón?,,,,
146,2026-01-08 17:25:47.647689+00,Por que no pago el seguro social?,,,,
147,2026-01-08 17:29:00.97517+00,Vio que rico el estrés maricón?,,,,
148,2026-01-08 17:29:10.911187+00,Vio que rico el estrés maricón?,,,,
149,2026-01-08 17:30:37.543512+00,"Kami, no tiene que meterle miedo que ya está aterrorizado. Tiene estrés postraumático",,,,
150,2026-01-08 17:33:36.408957+00,"Cuidado se te asolea mucho el celular cabezón, no se te vaya a trabar la nuca",,,,
151,2026-01-08 17:34:51.426703+00,"Cris, this type of stress is unfathomable. I hope you enjoy your cortisol.",,,,
152,2026-01-08 17:35:09.695417+00,Keep masturbating to child pornography ,,,,
153,2026-01-08 17:36:12.800724+00,Hasta la mamá de bellota reaccionó ,,,,
154,2026-01-08 17:38:56.873319+00,You said heil Hitler through your phone. I'm prosecuting.,,,,
155,2026-01-08 17:39:43.778983+00,I'm pressing charges for emiting a racial slur through his phone.,,,,
156,2026-01-08 17:40:31.353032+00,Ese mae está malísimo de todo. Me parece que está anémico.,,,,
157,2026-01-08 17:41:21.653485+00,Usted tiene el celular hackeado por alguien que quiera que usted se muera,,,,
158,2026-01-08 17:46:19.782699+00,Felicidades en su estrés postraumático se le recomienda tener relaciones cuando guste ,,,,
159,2026-01-08 17:46:42.156254+00,Soy Catalina Cortez y me declaro culpable de haberlo intimidado,,,,
160,2026-01-08 17:47:05.406537+00,Cortese el pene si quiere. A mi que me importa ,,,,
161,2026-01-08 17:47:23.737256+00,Gracias por llevar el registro maricón ,,,,
162,2026-01-08 17:48:16.090998+00,Cris marroquín soy tu tío luis me cago en tu madre,,,,
163,2026-01-08 17:49:16.290882+00,Ya se me puso a jugar de fullbright?,,,,
164,2026-01-08 17:50:26.917593+00,Cuidado pega ahí saliendo al balcón ,,,,
165,2026-01-08 17:50:41.954029+00,Solo era yo por homosexual ,,,,
166,2026-01-08 17:50:55.997267+00,This is laughable ,,,,
167,2026-01-08 17:51:12.173416+00,Su research es risible ,,,,
168,2026-01-08 17:52:42.688528+00,"usted intuyó que yo hablaba de Tania, yo no dije la palabra Tania, que es un problema en derecho. ",,,,
169,2026-01-08 17:53:05.268465+00,me cago en esta malcogida ardilla,,,,
170,2026-01-08 17:53:42.92929+00,es un portafolio que asemeja un portafolio de investigación para que la gente diga ,,,,
171,2026-01-08 17:54:07.283662+00,a los 17mil insultos se le determina el maricon del barrio,,,,
172,2026-01-08 17:54:18.681566+00,"cris, soy la dueña de inca",,,,
173,2026-01-08 17:54:19.979398+00,"cris, soy la dueña de incae",,,,
174,2026-01-08 17:54:38.411401+00,a ver a que hora toma testosterona,,,,
175,2026-01-08 17:54:58.194352+00,ve que es una imitación de Andrea? ,,,,
176,2026-01-08 17:55:23.330111+00,"Anselmo, como has estado? ",,,,
177,2026-01-08 17:56:08.687083+00,"como esta doña Teresita, los insultos vienen desde su departamento. ",,,,
178,2026-01-08 17:56:42.439802+00,"comper, los insultos vienen desde su condominio",,,,
179,2026-01-08 17:57:05.057714+00,asi de inutil es. turra. ,,,,
180,2026-01-08 17:57:42.686415+00,"ah diay si, lo convirtió como en un repositorio de chavespectaculos",,,,
181,2026-01-08 17:58:06.304666+00,ahora si,,,,
182,2026-01-08 17:58:34.000478+00,ve que suena como una gringa loca? ,,,,
183,2026-01-08 17:59:10.619961+00,he used to masturbate to children because he was still one .,,,,
184,2026-01-08 17:59:42.956722+00,"diay que, si quiere me quedo sin manos",,,,
185,2026-01-08 17:59:55.589641+00,vas directo para zoofilia como aquel bastardo de mora,,,,
186,2026-01-08 18:00:11.440352+00,eso lo que amerita es un grito de guerra,,,,
187,2026-01-08 18:00:19.494262+00,diay ya todo mundo sabe que es Karina la de zona fitness,,,,
188,2026-01-08 18:00:46.941696+00,"ah mae, le culeo el mico con este proyecto",,,,
189,2026-01-08 18:01:18.14153+00,somos todas las medicas forenses de este país,,,,
190,2026-01-08 18:01:33.686945+00,nos declaramos culpables de haberlo intimidado,,,,
191,2026-01-08 18:02:06.203358+00,"me escupo el culo, otro articulo mas relevante que lo que yo digo",,,,
192,2026-01-08 18:02:24.532633+00,"ah mae, si pudieran meterlo en una cuna y matarse",,,,
193,2026-01-08 18:02:51.920335+00,que si es tan provechoso como el dijo,,,,
194,2026-01-08 18:02:59.131976+00,"ahora si, dígame que no es inseguro Manolo campos",,,,
195,2026-01-08 18:03:51.559055+00,usted no puede ni exportar un gráfico,,,,
196,2026-01-08 18:04:45.981131+00,se le lleva un registro de todo lo que usted ha dicho,,,,
197,2026-01-08 18:04:49.939702+00,somos Andy y ester,,,,
198,2026-01-08 18:05:09.733244+00,que si quiere volver a trabajar conmigo,,,,
199,2026-01-08 18:06:22.863053+00,ah y por cierto si su aplicación sale al mercado y ya me la culeé,,,,
200,2026-01-08 18:06:50.899016+00,porque si lo haces en internet es publico,,,,
201,2026-01-08 18:06:56.373575+00,que que si ya volvió a mostrar el pene,,,,
202,2026-01-08 18:07:08.096259+00,que a que hora me confrontas hijueputa? ,,,,
203,2026-01-08 18:07:16.515719+00,que gusto la ira de la indisciplina,,,,
204,2026-01-08 18:08:31.211353+00,"es la gorda haciéndose pasar por hombre. Vea como lo tengo, temblando de pánico en el balcón por no haberse defendido",,,,
205,2026-01-08 18:09:36.373169+00,pague la demanda por lo de aquí y por lo de ahi,,,,
206,2026-01-08 18:09:42.932713+00,soy Andrea solis,,,,
207,2026-01-08 18:10:56.088413+00,soy la gorda. soy irma. no tengo adonde irme. ,,,,
208,2026-01-08 18:11:07.490195+00,soy joy. me estoy volviendo demente. ,,,,
209,2026-01-08 18:11:09.682002+00,soy joy. me estoy volviendo demente. ,,,,
210,2026-01-08 18:11:18.370056+00,a que hijueputa hora me confrontas malparido?,,,,
211,2026-01-08 18:11:48.643242+00,ay cosito la pichita,,,,
212,2026-01-08 18:12:02.276586+00,es infinito. dígale que es con AI,,,,
213,2026-01-08 18:12:42.360957+00,son 7 nicas enamoradas de usted,,,,
214,2026-01-08 18:12:53.634778+00,cuidado con el narcotrafico,,,,
215,2026-01-08 18:13:13.51144+00,preguntele algo estupido maria catalina,,,,
216,2026-01-08 18:13:22.150542+00,no tenias que haberme dejado un consolador,,,,
217,2026-01-08 18:13:54.400259+00,welcome to ASU. professor Humberto,,,,
218,2026-01-08 18:14:13.886629+00,he's just publishing some stupid shit,,,,
219,2026-01-08 18:14:26.098504+00,"mae, usted es un problema para la mirada",,,,
220,2026-01-08 18:14:37.779057+00,es autumn tratando de estafarlo desde grand river,,,,
221,2026-01-08 18:14:47.074179+00,por que le dice adonde esta?,,,,
222,2026-01-08 18:14:56.600444+00,"ahora si, acuérdese de esto maricon? ",,,,
223,2026-01-08 18:15:03.641576+00,esta tabla vale un centavo,,,,
224,2026-01-08 18:15:48.682624+00,"mae, es una gordita que se hace pasar por mae",,,,
225,2026-01-08 18:16:21.752485+00,thanks for exhibiting genetic resilience,,,,
226,2026-01-08 18:16:27.375462+00,en la puta mas me vuelve a hablar,,,,
227,2026-01-08 18:16:36.12257+00,di ya tranqui. dale,,,,
228,2026-01-08 18:17:59.986883+00,"diay no, no se siente bien ",,,,
229,2026-01-08 18:18:05.971785+00,"diay cris, you're not gay",,,,
230,2026-01-08 18:18:28.433319+00,a ver si me vuelve a aplicar a un puesto en catalina marketing pedofilo degenerado,,,,
231,2026-01-08 18:19:16.161825+00,a ver si le vuelve a mostrar la picha a su madre malparido,,,,
232,2026-01-08 18:19:45.324379+00,No tiene las habilidades que andábamos buscando como el ,,,,
233,2026-01-08 18:20:07.582187+00,si quiere le deletreo la clave de la internet,,,,
234,2026-01-08 18:21:04.538495+00,una mas de esas y llamo a la policia me escucho maricon? ,,,,
235,2026-01-08 18:21:18.195712+00,por que desconecto la internet la computadora al segundo que hablo su mama? ,,,,
236,2026-01-08 18:21:25.244+00,para causarse un daño,,,,
237,2026-01-08 18:21:39.288004+00,soy la intromisión maxima y todavía no hace por donde confrontarse,,,,
238,2026-01-08 18:22:20.993707+00,creo que ya que? doña Tere? por que insiste en confundirlo? ,,,,
239,2026-01-08 18:22:30.090906+00,por eso es que no había que decirlo. por que si surte un efecto,,,,
240,2026-01-08 18:22:40.457115+00,maravilloso el mercado. vemelo ahi temblando,,,,
241,2026-01-08 18:22:45.197557+00,no. oh cornudo hijueputa,,,,
242,2026-01-08 18:22:51.715407+00,con miedo gaby,,,,
243,2026-01-08 18:22:51.924833+00,con miedo gaby,,,,
244,2026-01-08 18:23:02.740522+00,muere por coger con Emilio,,,,
245,2026-01-08 18:23:10.001342+00,ahora si transcríbamela hijueputa,,,,
246,2026-01-08 18:24:24.577138+00,animo con ese deficit atencional. que si le parece alguien desatencionado. ,,,,
247,2026-01-08 18:26:04.646694+00,yo no tengo dos aplicaciones de android y yo soy un desarrollador,,,,
248,2026-01-08 18:26:36.763091+00,que si tiene deficit atencional,,,,
249,2026-01-08 18:26:49.4888+00,por que mejor no me preguntas si tengo herpes en el labio uterino,,,,
250,2026-01-08 18:28:06.089072+00,usted tiene 4 horas de estar soñando despierto Carlos Eduardo,,,,
251,2026-01-08 18:28:17.051385+00,usted si tiene un abdomen demarcado. sorry pendon fuido,,,,
252,2026-01-08 18:28:23.219055+00,a ver a que hora empiece a confrontar,,,,
253,2026-01-08 18:28:29.862219+00,solo era yo. tio luis Eduardo,,,,
254,2026-01-08 18:28:42.894088+00,que feo. es el esposo de vale haciéndote la vida imposible por maldito,,,,
255,2026-01-08 18:29:11.487791+00,en serio papi. el de accenture? ,,,,
256,2026-01-08 18:29:22.448069+00,que bueno que era cristianizo,,,,
257,2026-01-08 18:29:26.850983+00,que bueno que era cristiancito,,,,
258,2026-01-08 18:30:12.051673+00,animo con las PHD en zootécnia. espero que se mejore. soy la dueña de la escuela anaibeliz. gracias por no venir.,,,,
259,2026-01-08 18:30:18.427281+00,que feo este mae. es un inútil sin trabajo. ,,,,
260,2026-01-08 18:30:26.91152+00,no sera porque fui yo el que se lubricó?,,,,
261,2026-01-08 18:30:46.818015+00,es el idiota esposo de valeria Cristian. Con razor tanto programa contra el hampa. no ve como le cuida los carros. ,,,,
262,2026-01-08 18:31:07.918441+00,si pudiéramos dejar de darle click a todo,,,,
263,2026-01-08 18:31:48.743908+00, ah bueno y me cague en él,,,,
264,2026-01-08 18:31:49.001675+00, ah bueno y me cague en él,,,,
265,2026-01-08 18:32:14.135482+00,es el idiota esposo de vale. perdida de competencia intelectual. intelec,,,,
266,2026-01-08 18:32:19.079293+00,"ve, que si es un anuncio",,,,
267,2026-01-08 18:33:15.75796+00,por que no mejor para y se pone a respirar un momentico para que lo insulte la secar,,,,
268,2026-01-08 18:33:19.18717+00,por que no mejor para y se pone a respirar un momentico para que lo insulte la necar,,,,
269,2026-01-08 18:33:31.555456+00,chomo. soy yo oton solis. ,,,,
270,2026-01-08 18:33:42.286566+00,somos todos los hombres solos de este condominio. ,,,,
271,2026-01-08 18:35:03.314797+00,por que entre mas data tenga es peor para usted? ,,,,
272,2026-01-08 18:35:14.042311+00,somos andrea y vale. nos cagamos en usted. gracias por no querer vivir. ,,,,
273,2026-01-08 18:36:15.176433+00,usted no tiene por que hacerme esto. y eso es todo lo que yo he grabado de este maricon.,,,,
274,2026-01-08 18:36:25.836489+00,ahora si. a ver a que hijueputa hora le dice al OIJ que tiene delito informático. ,,,,
275,2026-01-08 18:37:41.708019+00,por que tu pagina dice que estas abierto a phd research maricon? ,,,,
276,2026-01-08 18:38:03.199495+00,ves que si suena como la voz de Stephanie? Lo converti en un tamal. ,,,,
277,2026-01-08 18:38:34.103047+00,"ah, cuando se tenga que ir de Exxon para completar su PHD en Uganda",,,,
278,2026-01-08 18:38:55.304481+00,gracias por no ser ni remotamente lo hombre que es Emilio,,,,
279,2026-01-08 18:39:08.387656+00,"ahora si, venga y me busca pedofilo malparido. soy la gorda anti-higiene",,,,
280,2026-01-08 18:39:25.356033+00,"mop, nos parece que es demasiado. sos un pedofilo que se masturba con caricatura. que sienta el escarmiento. ",,,,
281,2026-01-08 18:39:40.897663+00,"es el retrasado mental esposo de valeria, Cristian Alejandro",,,,
282,2026-01-08 18:40:45.028598+00,vea como le arreglan el tubo del eco. que hijueputa mas inutil,,,,
283,2026-01-08 18:41:07.984404+00,para que yo sepa que usted no puede confrontar. para nunca en la vida contratarlo a el,,,,
284,2026-01-08 18:41:42.674781+00,usted se acaba de perder. Cristian usted es tan imbecil que no sabe ni por cual cuadro va. ,,,,
285,2026-01-08 18:44:05.798914+00,"Cristián, usted tiene que matar a este hijueputa ",,,,
286,2026-01-08 18:44:24.255651+00,A ver si se le quita el complejito de jugar de lacra,,,,
287,2026-01-08 18:44:37.665785+00,Lo denuncio por lo que me dijo su teléfono. Volviéndolo a ver.,,,,
288,2026-01-08 18:45:30.220154+00,No le puede decir que venga otro día. Estábamos en la hijueputa vara.,,,,
289,2026-01-08 18:45:41.033951+00,Que si salió bien del cuello,,,,
290,2026-01-08 18:46:00.895315+00,Jueputa sal como se van a acordar todos de él playo ,,,,
291,2026-01-08 18:47:51.574031+00,Gracias por ingresar al juego virgen ,,,,
292,2026-01-08 18:48:04.599657+00,Ve que si era buena nota?,,,,
293,2026-01-08 18:48:29.697479+00,Que feo. Es un ejercicio de manipulación del gobierno venezolano para ver qué hace un mae de INCAE.,,,,
294,2026-01-08 18:49:07.504044+00,"Ella no dijo venezolano, ella dijo nuejtro gobierno. A ver a qué hora hay policía en Masaya.",,,,
295,2026-01-08 18:49:49.73451+00,Usted puede jurar que su madre es cómplice ,,,,
296,2026-01-08 18:51:57.798574+00,"Madre, usted cómo me está estafando?",,,,
297,2026-01-08 18:53:58.46739+00,Ve que ya lo apagó?,,,,
298,2026-01-08 18:54:43.015153+00,Por favor dígale pedófilo ,,,,
299,2026-01-08 18:55:19.627766+00,Soy Hazel. Me lo culea? Ese es nuestro hermanito.,,,,
300,2026-01-08 18:55:28.416196+00,El tiene un retrasado mental en su familia.,,,,
301,2026-01-08 18:55:39.946285+00,Eso es suficiente para que el jamás lo vuelva a ver.,,,,
302,2026-01-08 18:56:10.21526+00,Si pudiera respirar de nasal,,,,
303,2026-01-08 18:57:18.588399+00,Que dice? Que la mitad de los artículos no son buenos. Noelia,,,,
304,2026-01-08 18:58:04.279162+00,Soy la ex de Marco Fidel. Te determino sujeto de premio.,,,,
305,2026-01-08 18:58:26.489981+00,Ya me lo culie. Que rico. Ni una. Zorra. Con grado máster.,,,,
306,2026-01-08 18:59:00.427529+00,Por que está el en la casa que no es de él?,,,,
307,2026-01-08 18:59:50.247554+00,Cristián no puede ni jugar Valeria. Solo sabe pedir ayuda. Solo contacta a una entidad superior. A menos de que gane en cuyo caso viene madre.,,,,
308,2026-01-08 19:02:20.631069+00,Se descompuso Ronald. Le dejaron un dispositivo que le da acceso a la red de madre.,,,,
309,2026-01-08 19:02:33.024038+00,Ah diay si. Tuanis. Ya no le ayudo.,,,,
310,2026-01-08 19:04:13.35634+00,No me venga a jugar de sofisticado sobón,,,,
311,2026-01-08 19:04:35.601218+00,Usted no le puede dirigir la palabra a él porque él está en la casita. No me llore.,,,,
312,2026-01-08 19:05:09.315964+00,"Por amor a Cristo, Andrea. Así de dolor de jupa puedo ser.",,,,
313,2026-01-08 19:06:18.769497+00,Que se eche un polvo en la picha y se la culee.,,,,
