id,created_at,user_text,Categor�a Legal,Normativa,Penalidad Estimada,Detalles
13,2026-01-08 12:17:15.929132+00,Para que usted tenga que recurrir a la programaci�n para esto en vez de haberse disfrazado de playo.,Injuria,"Código Penal, Artículo 145",Sesenta a ciento cincuenta días multa.,"La frase utiliza un término despectivo ('playo') de forma peyorativa, con la intención de deshonrar o desacreditar a una persona, o propalar una cualidad o conducta capaz de hacerla desmerecer en el concepto público, lo cual podría encuadrarse en el delito de Injuria."
14,2026-01-08 12:40:38.540177+00,Por lo menos nos dio para un buen a�o de insultos.,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado es una expresión que describe una situación pasada o actual de haber recibido 'insultos'. No describe la comisión de un delito por parte de quien emite la frase, ni proporciona detalles suficientes sobre la naturaleza, el contexto o los sujetos involucrados en los 'insultos' para determinar si estos constituyen un delito de injuria, difamación, o cualquier otra infracción penal bajo la ley costarricense. Es una manifestación genérica sobre una experiencia."
15,2026-01-08 12:51:47.663933+00,Se quem� el pan. Qu� madre.,NO INFRACCIÓN,N/A,N/A,La expresión 'Se quemó el pan. Qué madre.' es una exclamación de frustración común en Costa Rica y no describe ningún hecho que constituya una infracción a las leyes penales o de cualquier otra índole en el país.
16,2026-01-08 13:04:38.291241+00,Por que no mejor tiras a la basura la servilleta con la que te acabas de limpiar la nariz.,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado es una pregunta o sugerencia sobre el desecho de una servilleta, y no describe ningún hecho que se configure como un delito o infracción bajo la legislación penal costarricense en ninguna de las categorías establecidas. Carece de elementos de amenaza, difamación, intimidad, o cualquier otra conducta tipificada."
17,2026-01-08 13:07:04.683108+00,¿Qu� es que no sabe ni hablar?,NO INFRACCIÓN,N/A,N/A,"La frase '¿Qué es que no sabe ni hablar?' por sí sola, sin contexto que indique una imputación de un hecho delictivo falso (Calumnia), una amenaza, una afectación a la intimidad o derechos de imagen, o un ataque específico al honor o la reputación de una persona determinada y con la intención de desacreditarla públicamente (Injuria/Difamación), no configura ninguna infracción penal en Costa Rica. Se considera una expresión genérica o una pregunta retórica."
18,2026-01-08 13:25:39.643085+00,A Ver si as� se le cura el complejo de ped�filo.,Calumnia,"Código Penal de Costa Rica, Artículo 147",Prisión de seis meses a dos años.,"La frase atribuye falsamente a una persona la comisión de un delito grave (la acusación de tener un 'complejo de pedófilo' implica una imputación de pedofilia, lo que se asocia con delitos sexuales contra menores que dan lugar a procedimiento de oficio). Si esta imputación es falsa, podría constituir el delito de calumnia."
19,2026-01-08 13:31:48.371789+00,No puedo creer que seas un pedofilo tan sofisticado.,Calumnia,"Código Penal, Artículo 147",Prisión de tres meses a dos años.,"Se imputa falsamente la comisión de un delito (ser pedófilo, que implica la comisión de delitos sexuales graves contra menores) a una persona. Si dicha imputación es falsa y se realiza con conocimiento de su falsedad o con temerario desprecio de la verdad, podría constituir Calumnia."
20,2026-01-08 13:34:03.932637+00,"Usted no me pari�. Es lo que usted es, un pedofilo.",Calumnia,Artículo 147 del Código Penal.,Prisión de seis meses a dos años.,"La imputación directa de ser 'un pedófilo' constituye la atribución de un hecho que por ley está previsto como delito (delitos sexuales contra personas menores de edad) y que da lugar a procedimiento de oficio. Si dicha imputación resulta ser falsa, se configura el delito de calumnia."
21,2026-01-08 13:35:44.264306+00,Anda masturbate con caricaturitas.,INJURIA,"Código Penal, Artículo 145",De veinticinco a cien días multa.,"El texto contiene una expresión deshonrosa y desacreditante dirigida a una persona, afectando su honor y dignidad, lo cual se encuadra en el delito de injuria."
22,2026-01-08 13:37:07.504632+00,Yo no respeto a alguien que se masturba con pornograf�a infantil.,NO INFRACCIÓN,No aplica,No aplica,"La expresión de no respeto hacia alguien que incurre en una conducta ilícita (masturbación con pornografía infantil) es una opinión personal y no constituye, por sí misma, una infracción legal en Costa Rica. La persona está manifestando una desaprobación moral o ética, no cometiendo un delito, calumnia, amenaza, o violación de derechos de imagen o intimidad."
23,2026-01-08 13:38:58.319707+00,"Por que no se masturba con caricatura, turra.",INJURIA,"Código Penal, Artículo 145",Veinticinco a cincuenta días multa,"La frase contiene expresiones que deshonran y desacreditan a la persona a la que se dirige. El uso de la palabra 'turra' y la sugerencia despectiva de un acto íntimo en público o dirigido, tienen la intención de ultrajar la dignidad de la víctima, encajando en la figura de la injuria."
24,2026-01-08 13:42:29.172222+00,"Sorry, por masturbarse con menores de edad.",Actos Sexuales con Persona Menor de Edad,"Código Penal, Artículo 161 bis","Prisión de ocho a dieciséis años, con penas que pueden incrementarse según la edad de la víctima y la relación con el agresor.","La descripción de 'masturbarse con menores de edad' configura un acto de connotación sexual con una persona menor de edad, lo cual es severamente sancionado por la ley costarricense. Específicamente, el Artículo 161 bis del Código Penal tipifica y castiga la realización, facilitación o promoción de actos sexuales con personas menores de quince años."
25,2026-01-08 13:46:03.830265+00,Soy un pap� y no tengo por qu� temer tu masturbaci�n.,NO INFRACCIÓN,N/A,N/A,"La frase expresa una postura personal y una falta de temor por parte del hablante. No describe la comisión de un hecho punible, una amenaza, calumnia, injuria, ni ninguna otra acción que infrinja la legislación penal de Costa Rica. Es una manifestación de opinión o sentimiento, sin que se advierta un ataque a bienes jurídicos protegidos."
26,2026-01-08 13:47:34.344352+00,"Yo no tengo barriga, a diferencia de tu que tienes cortada en ombligo.",INJURIA,"Código Penal, Artículo 145",Sesenta a ciento veinte días multa.,"La expresión vertida podría interpretarse como un menosprecio o deshonra hacia la persona aludida, haciendo referencia a una característica física o cicatriz de forma peyorativa. La injuria se configura por cualquier expresión o acción dirigida con la intención de deshonrar o menospreciar a una persona."
27,2026-01-08 13:49:48.919288+00,Compa por que no se corta?,NO INFRACCIÓN,N/A,N/A,"La frase ""Compa por que no se corta?"" es una expresión coloquial que, sin un contexto adicional, no describe hechos que puedan encuadrarse en ninguna de las infracciones penales tipificadas en la legislación costarricense. No se evidencia la comisión de un delito grave, calumnia, amenaza, violación a la intimidad, derechos de imagen, delito informático, injuria o difamación. Es una expresión informal que por sí sola carece de relevancia penal."
28,2026-01-08 13:54:44.317917+00,Primero me le cago y despu�s voy al trabajo.,NO INFRACCIÓN,N/A,N/A,"La expresión, aunque vulgar, no describe un hecho que constituya una infracción a las leyes penales de Costa Rica. No se dirige a una persona específica con una amenaza, calumnia, injuria, ni describe un delito grave, sexual, informático o contra la intimidad. Se interpreta como una expresión de frustración personal o desahogo sin un destinatario o acción delictiva concreta."
29,2026-01-08 13:57:59.489155+00,"Ay Marroquito, por que no crece?",Injuria,"Código Penal, Artículo 145",De veinte a sesenta días multa,"El uso del término 'Marroquito' podría ser considerado una ofensa a la dignidad o al decoro de una persona, especialmente si se interpreta como un diminutivo peyorativo de 'marrano' (cerdo). Al combinarlo con la pregunta '¿por qué no crece?', podría insinuar una falta de desarrollo o capacidad, reforzando la posible intención de menosprecio. La determinación final dependería de la interpretación contextual y la intencionalidad del emisor."
30,2026-01-08 14:03:18.269879+00,¿Qu� mediocre?,NO INFRACCIÓN,N/A,N/A,"La frase '¿Qué mediocre?' es una expresión de opinión o una exclamación. Para que constituya una injuria o difamación, sería necesario que estuviera dirigida a una persona específica, con la intención de deshonrarla o desacreditarla, y que se diera en un contexto que permitiera tal interpretación. Al ser una expresión aislada y sin contexto, no describe hechos que, por sí solos, configuren una infracción a las leyes penales de Costa Rica."
31,2026-01-08 14:14:02.85489+00,Cris marroqu�n se masturba con caricaturas ,NO INFRACCIÓN,N/A,N/A,"El texto describe un acto personal y privado ('Cris Marroquín se masturba con caricaturas'). Sin información adicional que indique que el acto se realizó en público (lo que podría configurar Exhibición Obscena, Art. 378 C.P.) o que las 'caricaturas' constituyen material de pornografía infantil (lo que sería un delito grave), el hecho descrito por sí mismo no constituye una infracción a las leyes de Costa Rica. La masturbación en privado no es un delito."
32,2026-01-08 14:15:08.621791+00,"Cris, no es por nada pero que vago.",NO INFRACCIÓN,N/A,N/A,"La expresión 'que vago' es una opinión o un juicio de valor sobre el comportamiento de una persona. Si bien podría considerarse un comentario despectivo o una crítica, en el contexto dado y sin mayor información sobre su intención, difusión o impacto, no alcanza el umbral de gravedad necesario para configurar un delito de injuria o difamación según la legislación penal de Costa Rica. No se imputa un delito ni se amenaza la integridad de la persona."
33,2026-01-08 14:39:39.436213+00,Anuncio que Cris marroqu�n ya tiene p�rkinson.,Violación a la Ley de Protección de Datos Personales Sensibles,"Ley N° 8968, Artículo 44 inciso a)",Prisión de tres a cinco años,"La información sobre una condición médica como el Parkinson se clasifica como 'dato personal sensible'. Si esta información es veraz y se transmite o anuncia sin el consentimiento expreso del titular, constituye una transmisión ilegal de datos personales sensibles. Esto está tipificado y sancionado penalmente por la Ley de Protección de la Persona frente al Tratamiento de sus Datos Personales (Ley N° 8968), asumiendo que la información es privada y no ha sido hecha pública previamente por la persona afectada."
34,2026-01-08 14:43:19.837929+00,Gracias por el acceso no solicitado a ninguna casa maric�n.,Injuria,"Código Penal, Artículo 145",Sesenta a ciento cincuenta días multa.,"El uso de un término despectivo o insultante, como 'maricón', dirigido a una persona, especialmente si busca deshonrarla o desacreditarla, se encuadra en el delito de injuria. La referencia al 'acceso no solicitado' es ambigua en su contexto, pero la expresión injuriosa es clara."
35,2026-01-08 14:47:08.931551+00,"Ahora s�, a ventilarme los huevos.",NO INFRACCIÓN,N/A,N/A,La expresión es una frase coloquial que denota un deseo de relajación o inactividad y no describe hechos que constituyan una infracción penal o administrativa bajo la legislación costarricense.
36,2026-01-08 14:52:45.307123+00,Que pene mas grande que tienes.,Injuria,Artículo 145 del Código Penal de Costa Rica,Veinticinco a cincuenta días multa.,"La expresión constituye un comentario vulgar y de índole sexual que, al ser proferido de manera no solicitada, atenta directamente contra la dignidad y el honor de la persona a la que se dirige. Esto encaja en la figura de injuria, que implica deshonrar o desacreditar a otro mediante la imputación de una cualidad o conducta capaz de menoscabar su estima."
37,2026-01-08 14:56:41.138222+00,Por que usted estornuda para arriba?,NO INFRACCIÓN,N/A,N/A,El texto es una pregunta simple y no describe ningún hecho que pueda ser constitutivo de una infracción legal en Costa Rica.
38,2026-01-08 14:59:23.926654+00,Comunico con aquel que se masturba con literatura er�tica?,NO INFRACCIÓN,N/A,N/A,"El texto es una pregunta del usuario, no describe hechos o acciones que constituyan una infracción a la ley costarricense."
39,2026-01-08 15:01:05.633925+00,Gracias por tragarse el poquito de semen ,ACOSO SEXUAL,Artículo 157 bis del Código Penal de Costa Rica.,Prisión de tres meses a dos años.,"La frase expresa un comentario de naturaleza sexual altamente vulgar y degradante, que atenta directamente contra la dignidad de la persona a la que se dirige. Su contenido es explícitamente humillante y ofensivo, configurando un acto que puede crear un ambiente intimidatorio, hostil o degradante, lo cual se alinea con la definición de acoso sexual."
40,2026-01-08 15:05:39.913543+00,Bienvenido al satanismo ,NO INFRACCIÓN,N/A,N/A,"La frase 'Bienvenido al satanismo' por sí misma no describe hechos que constituyan una infracción penal en Costa Rica. No se imputa ningún delito o hecho deshonroso, no es una amenaza, no vulnera la intimidad, no es un delito informático, ni afecta derechos de imagen o voz. Es una expresión que, sin contexto adicional que indique una conducta ilícita o un perjuicio, carece de relevancia penal."
41,2026-01-08 15:08:42.760348+00,Se le registr� como alguien que tiene contacto en puteros.,DIFAMACIÓN,Artículo 146 del Código Penal de Costa Rica,Cincuenta a doscientos días multa.,"La acción de registrar o dar a conocer que una persona 'tiene contacto en puteros' constituye una imputación que podría deshonrar, desacreditar o exponer al desprecio público a esa persona. Independientemente de la veracidad, la divulgación de tales imputaciones, si causa un daño a la reputación, podría configurar el delito de difamación."
42,2026-01-08 15:17:44.830288+00,Ya me empez� a pedir ayuda en c�digo Morse.,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado describe una situación en la que alguien solicita ayuda a través de código Morse. Esta acción, por sí misma, no constituye ningún delito o infracción legal bajo la normativa costarricense. No se infiere amenaza, calumnia, afectación a la intimidad, derechos de imagen, delitos informáticos o cualquier otro tipo penal de las leyes de Costa Rica."
43,2026-01-08 15:24:48.153293+00,pedofilo,Abuso Sexual Contra Menor de Edad y Otros Delitos Sexuales,"Artículo 159 y subsiguientes del Código Penal (Ley N° 4573), Título IV, Capítulo II.","Las penas para los delitos sexuales contra menores de edad varían significativamente, iniciando generalmente desde los 10 años de prisión y pudiendo ascender a 20 años o más, dependiendo de la gravedad, circunstancias y delito específico (ej. Art. 159: 10 a 16 años; Art. 160: 10 a 16 años; Art. 163: 13 a 20 años).","La palabra 'pedófilo' describe a una persona con inclinaciones o que comete actos de abuso o explotación sexual de menores de edad. Tales actos se encuentran tipificados como delitos muy graves en el Código Penal de Costa Rica, bajo la categoría de Delitos contra la libertad y la honestidad sexual, específicamente los que afectan a personas menores de edad. Estos incluyen, entre otros, el abuso sexual, la violación, la explotación sexual comercial y la corrupción de menores."
44,2026-01-08 15:24:55.417158+00,pedofilo,Abuso Sexual contra Persona Menor de Edad,Artículo 157 del Código Penal de Costa Rica.,De cuatro a diez años de prisión.,"La palabra 'pedófilo' describe a una persona que siente atracción sexual por niños, lo cual implica la comisión o la intención de cometer delitos sexuales contra personas menores de edad. Tales actos se encuentran tipificados en el Código Penal, siendo el abuso sexual uno de los delitos graves asociados a esta condición."
45,2026-01-08 15:25:58.489676+00,lo que te paso fue por pedofilo,Calumnia,"Código Penal, Artículo 147.",Prisión de seis meses a cinco años.,"La expresión imputa a una persona la comisión de un delito grave (pedofilia), lo cual, si es falso, configura el delito de Calumnia. La pedofilia implica la comisión de delitos sexuales contra menores, considerados graves en la legislación penal costarricense."
46,2026-01-08 15:30:01.361294+00,"disculpe, no sabia que era phd en bajarme el autoestima",NO INFRACCIÓN,N/A,N/A,"La expresión, aunque puede ser considerada sarcástica o hiriente en el ámbito personal, no constituye una atribución falsa de un delito (calumnia), una amenaza, una violación a la intimidad, o un ataque directo al honor o reputación de una persona en los términos que el Código Penal de Costa Rica (artículos 145 y 146 sobre injuria y difamación) o la Ley de Delitos Informáticos requieren para configurar una infracción. Se trata de una percepción subjetiva del emisor sobre la interacción con la otra persona, sin imputar un hecho deshonroso o descrédito de manera objetiva."
47,2026-01-08 15:32:30.136069+00,como pidi� ayuda por c�digo morse? ,NO INFRACCIÓN,N/A,N/A,"El texto es una pregunta sobre el código morse, no describe hechos que constituyan una infracción legal en Costa Rica."
48,2026-01-08 15:32:50.399282+00,"por que tan pedofilo, morales? ",Calumnia,"Código Penal, Artículo 147",Prisión de seis meses a cinco años o con sesenta a trescientos sesenta días multa.,"La frase imputa falsamente a una persona (""morales"") la comisión de un delito grave (pedofilia), lo cual encaja en la definición legal de calumnia si dicha imputación carece de veracidad."
49,2026-01-08 15:34:30.108376+00,"ahora a ver, exh�lame en 3",NO INFRACCIÓN,N/A,N/A,"La frase 'ahora a ver, exhálame en 3' es críptica y carece de contexto suficiente para determinar cualquier hecho que pueda constituir una infracción legal bajo la legislación costarricense. No se vislumbra la descripción de un delito contra la vida, la integridad física, la intimidad, el honor, ni ninguna otra conducta tipificada como ilícita."
50,2026-01-08 15:36:45.523771+00,"soy yo cris, perd�n",NO INFRACCIÓN,N/A,N/A,"El texto proporcionado consiste en una identificación y una disculpa, no describiendo hechos que encajen en ningún tipo penal o infracción a la legislación costarricense."
58,2026-01-08 15:38:37.085379+00,para que no puedaj ni leer,NO INFRACCIÓN,N/A,N/A,"La frase ""para que no puedaj ni leer"" es excesivamente vaga y carece de contexto para poder imputar un delito. No describe hechos concretos que, por sí solos, constituyan una infracción penal en Costa Rica. No se especifica la naturaleza de la acción, el daño que se pretende causar, ni la intencionalidad o el bien jurídico afectado de manera clara para configurar una amenaza, injuria o cualquier otro delito."
59,2026-01-08 15:38:47.016986+00,para que no puedaj ni leer,NO INFRACCIÓN,No aplica,No aplica,"La frase proporcionada es sumamente vaga y carece de contexto o de la descripción de un acto concreto, grave e ilegítimo que pueda ser clasificado como una infracción penal en Costa Rica. No se especifican acciones, medios o un 'mal futuro' discernible que cumpla con los elementos de un delito como la amenaza (Art. 188 C.P.) o cualquier otro."
60,2026-01-08 15:38:51.578312+00,para que no puedaj ni leer,AMENAZA,Artículo 188 del Código Penal,Prisión de quince días a seis meses o con sesenta a ciento cincuenta días multa.,"La frase 'para que no puedas ni leer' (asumiendo 'puedaj' como un error tipográfico de 'puedas') expresa la intención de causar un mal a otra persona, al impedirle o imposibilitarle la acción de leer. Esta declaración, dependiendo del contexto específico en que se pronuncie o escriba, podría interpretarse como una amenaza de afectación a la persona o a sus capacidades, buscando generar temor o coacción, lo cual encaja en la descripción del delito de amenaza."
61,2026-01-08 15:38:58.409254+00,para que no puedaj ni leer,NO INFRACCIÓN,N/A,N/A,"La frase 'para que no puedas ni leer' por sí misma no describe una acción delictiva. Carece de contexto sobre quién lo dice, a quién, con qué intención y qué acción precede o sigue a esta expresión. Podría ser parte de una amenaza o coacción, pero la expresión aislada no es constitutiva de delito."
62,2026-01-08 15:39:13.506073+00,no. mendigo era su pap�.,Injuria,Artículo 145 del Código Penal de Costa Rica,Veinticinco a cincuenta días multa.,"La expresión 'mendigo era su papá' podría considerarse una injuria, ya que tiene la intención de deshonrar o desacreditar a una persona (el padre de alguien, y por extensión, a la persona misma) al atribuirle una condición despectiva o denigrante, afectando su honor."
63,2026-01-08 15:39:26.115469+00,no. mendigo era su pap�. fui yo quien lo dejo ah�.,Injuria,"Código Penal, Artículo 145",De veinticinco a cincuenta días multa.,"La expresión 'mendigo era su papá' puede ser considerada una imputación deshonrosa o desacreditante hacia la persona a la que se refiere o a su familia, si se realiza públicamente y con la intención de menoscabar su dignidad, configurando así el delito de injuria."
64,2026-01-08 15:39:31.546947+00,no. mendigo era su pap�. fui yo quien lo dejo ah�.,Injuria,"Código Penal, Artículo 145",Multa de veinte a sesenta días multa.,"La frase 'mendigo era su papá' podría interpretarse como una expresión deshonrosa o desacreditante dirigida a una persona, utilizando a su progenitor como medio para ello. Esto se encuadra en el delito de Injuria, que sanciona a quien por cualquier medio deshonrare o desacreditare a otro."
65,2026-01-08 15:39:36.528783+00,no. mendigo era su pap�. fui yo quien lo dejo ah�.,Injuria,Artículo 145 del Código Penal de Costa Rica,Multa de quince a sesenta días multa.,"La expresión 'mendigo era su papá' puede interpretarse como una manifestación que busca deshonrar, desacreditar o menospreciar a una persona (ya sea el padre o el hijo por asociación), lo cual encaja con la definición de injuria según el Código Penal de Costa Rica. La segunda frase 'fui yo quien lo dejo ahí' es ambigua y, sin más contexto, no permite identificar una infracción legal clara."
66,2026-01-08 15:39:41.224491+00,no. mendigo era su pap�. fui yo quien lo dejo ah�.,Injuria/Difamación,"Código Penal, Artículos 145 y 146","De veinte a cincuenta días multa, según corresponda a injuria o difamación.","La expresión 'mendigo era su papá' podría ser interpretada como una imputación capaz de causar deshonra, descrédito o menosprecio de otra persona, encuadrando en los delitos contra el honor, específicamente injuria (si deshonra o desacredita directamente) o difamación (si se comunica a varias personas y causa tales efectos)."
67,2026-01-08 15:40:43.988895+00,esto no es bueno para usted porque se defiende de la cancelaci�n. esto termino ayer.,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado es demasiado vago para constituir una infracción legal. La frase 'esto no es bueno para usted' es una afirmación general que no configura una amenaza explícita de daño futuro, un delito contra el honor, la intimidad o cualquier otra categoría penal sin contexto adicional. Tampoco atribuye un delito ni vulnera derechos de imagen o voz."
68,2026-01-08 15:42:47.368856+00,compresor que pas�? Ya no se sienten? ,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado es una pregunta técnica o de seguimiento sobre el funcionamiento o estado de un 'compresor'. No describe hechos que puedan constituir una infracción penal o civil bajo la legislación costarricense, ni encaja en ninguna de las categorías de delitos mencionadas."
69,2026-01-08 15:44:57.117541+00,que si se quiere coger al chiquito? ,DELITOS CONTRA LA INTEGRIDAD SEXUAL (PROPOSICIÓN O INDAGACIÓN CON FINES SEXUALES HACIA MENORES),"Código Penal, Artículo 163",Prisión de dos a seis años,"La frase 'coger al chiquito' en el contexto costarricense tiene una connotación sexual explícita y se refiere a un acto sexual con un menor de edad. Aunque planteada como una pregunta sobre un deseo, esta expresión puede interpretarse como una proposición o una indagación con fines sexuales dirigida hacia o en relación con un menor, lo cual encaja dentro de los supuestos del delito de Proposición y Seducción de Menores, que busca proteger la integridad sexual de las personas menores de quince años."
70,2026-01-08 15:45:04.580845+00,que si se quiere coger al chiquito? ,DELITOS GRAVES Y SEXUALES,Artículo 162 del Código Penal de Costa Rica.,Prisión de cuatro a diez años.,"La frase 'que si se quiere coger al chiquito', aun siendo una pregunta, es una expresión que implica un posible deseo o incitación a realizar actos sexuales con una persona menor de edad. Este tipo de expresiones o acciones que promuevan, favorezcan o inciten a la realización de actos sexuales con menores, se subsumen bajo el delito de Corrupción de Menores o Abuso Sexual, según el contexto y la intención final."
71,2026-01-08 15:45:09.498445+00,que si se quiere coger al chiquito? ,Delitos Sexuales contra Personas Menores de Edad / Indicador de Intención Criminal,"Arts. 156 (Violación), 157 (Abuso Sexual) y 162 (Corrupción de Menores) del Código Penal de Costa Rica.","Las penas varían sustancialmente según el delito específico, la edad de la víctima y las circunstancias, oscilando entre los 4 y los 16 años de prisión, o incluso más para casos agravados.","La frase expresa un deseo o intención de índole sexual hacia un 'chiquito' (término coloquial que en Costa Rica se refiere a un niño, niña o adolescente). Esta manifestación, por sí misma, es una clara indicación de una posible intención de cometer graves delitos contra la integridad sexual de personas menores de edad. Si bien la expresión de un deseo no constituye per se el delito consumado, es un indicio alarmante que, dependiendo del contexto, si es parte de una conducta reiterada, o si lleva a actos preparatorios, podría ser elemento de prueba para investigar delitos como Abuso Sexual, Violación o Corrupción de Menores, los cuales son sancionados con severas penas de prisión."
72,2026-01-08 15:45:49.594972+00,"gracias por mis proyectos del trabajo, te acabo de robar tus programas de tu computadora y los usare para mi trabajo",Utilización Indebida de Datos y Programas Informáticos,"Ley N° 8148, Ley de Delitos Informáticos y Conexos, Artículo 9",Prisión de uno a tres años,"El hecho de 'robar' programas de una computadora y la intención de 'usarlos para mi trabajo' encaja directamente con el delito de utilización indebida de datos o programas. Este artículo sanciona a quien, sin autorización, reproduzca, copie, o utilice de cualquier otra forma datos, programas o documentos electrónicos protegidos por las leyes de propiedad intelectual, o realice actos que violen los derechos de autor o derechos conexos sobre estos."
73,2026-01-08 15:50:33.482745+00,puede morirse por estarse masturbando con caricaturas de ni�os,NO INFRACCIÓN,No aplica,No aplica,La pregunta formulada es de naturaleza hipotética y no describe hechos o conductas que puedan ser tipificadas como una infracción a la legislación penal costarricense.
74,2026-01-08 15:51:25.595595+00,gracias por lubricarte con jab comix,Injuria,"Código Penal, Artículo 145",Prisión de veinte a sesenta días multa.,"El comentario, por su naturaleza vulgar y sexualmente sugerente, podría interpretarse como una acción para deshonrar o desacreditar a una persona, constituyendo potencialmente el delito de injuria si se dirige a alguien con ese fin."
75,2026-01-08 15:53:22.888776+00,you have been woken up by the feminist movement,NO INFRACCIÓN,No aplica,No aplica,"La frase ""you have been woken up by the feminist movement"" es una expresión de opinión o una observación. No describe hechos que puedan encuadrarse en delitos contra el honor (injuria, difamación, calumnia), amenazas, delitos contra la intimidad, derechos de imagen o voz, o delitos informáticos, según la legislación penal de Costa Rica. No se detecta un contenido injurioso, difamatorio, amenazante o constitutivo de cualquier otro ilícito penal."
76,2026-01-08 16:00:18.366395+00,vas para la carcel maldito,Amenaza,"Código Penal, Artículo 188",Prisión de veinte a sesenta días o veinte a sesenta días multa.,"La expresión ""vas para la cárcel"", acompañada del término despectivo ""maldito"", puede interpretarse como una amenaza de causar un mal futuro grave (la privación de libertad). Aunque no se explicita que el emisor de la frase vaya a ""causar"" directamente dicho mal, en un contexto de confrontación, puede inferirse la intención de influir o actuar para que esa consecuencia ocurra. Si dicha amenaza no tiene un fundamento legítimo o se usa para intimidar, constituiría un mal injusto, configurando así el delito de Amenaza."
